exercise_id,nome_exercicio,foco_muscular,equipamento,dificuldade,risco_limitacao,loc_0_pc,loc_1_halteres,loc_2_maquina
0,Flexão de Braço,Peito,Peso Corporal,Iniciante,Ombro,1,1,1
1,Supino Reto (Barra),Peito,Barra,Intermediário,Ombro,0,1,1
2,Supino Inclinado (Halteres),Peito,Halteres,Intermediário,Ombro,0,1,1
3,Voador / Pec Deck,Peito,Máquina,Iniciante,Nenhum,0,0,1
4,Supino Máquina (Chest Press),Peito,Máquina,Iniciante,Nenhum,0,0,1
5,Crucifixo (Halteres),Peito,Halteres,Intermediário,Ombro,0,1,1
6,Paralelas (Dips),Peito,Peso Corporal,Avançado,Ombro,1,1,1
7,Puxada Alta / Pulldown,Costas,Máquina,Iniciante,Nenhum,0,0,1
8,Remada Curvada (Barra),Costas,Barra,Avançado,Lombar,0,1,1
9,Remada Sentada (Máquina),Costas,Máquina,Iniciante,Nenhum,0,0,1
10,Remada Cavalinho,Costas,Máquina,Intermediário,Lombar,0,0,1
11,Remada Unilateral (Halteres),Costas,Halteres,Intermediário,Nenhum,0,1,1
12,Barra Fixa / Pull-up,Costas,Peso Corporal,Avançado,Nenhum,1,1,1
13,Hiperextensão Lombar,Costas,Peso Corporal,Iniciante,Lombar,1,1,1
14,Agachamento Livre (Barra),Pernas,Barra,Avançado,Lombar/Joelho,0,1,1
15,Agachamento (Peso Corporal),Pernas,Peso Corporal,Iniciante,Joelho,1,1,1
16,Leg Press 45,Pernas,Máquina,Intermediário,Joelho,0,0,1
17,Cadeira Extensora,Pernas,Máquina,Iniciante,Joelho,0,0,1
18,Cadeira Flexora,Pernas,Máquina,Iniciante,Nenhum,0,0,1
19,Levantamento Terra / Deadlift,Pernas,Barra,Avançado,Lombar,0,1,1
20,Avanço / Passada (Halteres),Pernas,Halteres,Intermediário,Joelho,0,1,1
21,Panturrilha (Máquina),Pernas,Máquina,Iniciante,Nenhum,0,0,1
22,Desenvolvimento (Halteres),Ombros,Halteres,Intermediário,Ombro/Lombar,0,1,1
23,Desenvolvimento (Máquina),Ombros,Máquina,Iniciante,Nenhum,0,0,1
24,Elevação Lateral (Halteres),Ombros,Halteres,Intermediário,Ombro,0,1,1
25,Elevação Frontal (Halteres),Ombros,Halteres,Iniciante,Ombro,0,1,1
26,Remada Alta (Barra),Ombros,Barra,Intermediário,Ombro,0,1,1
27,Encolhimento (Halteres),Ombros,Halteres,Iniciante,Nenhum,0,1,1
28,Rosca Direta (Barra),Braços,Barra,Intermediário,Nenhum,0,1,1
29,Rosca Alternada (Halteres),Braços,Halteres,Iniciante,Nenhum,0,1,1
30,Rosca Scott (Máquina),Braços,Máquina,Iniciante,Nenhum,0,0,1
31,Tríceps Testa (Barra),Braços,Barra,Intermediário,Ombro,0,1,1
32,Tríceps Pulley (Cabos),Braços,Cabos,Iniciante,Nenhum,0,0,1
33,Tríceps Banco (Mergulho),Braços,Peso Corporal,Intermediário,Ombro,1,1,1
34,Rosca Martelo (Halteres),Braços,Halteres,Iniciante,Nenhum,0,1,1
35,Abdominal (Crunch),Core,Peso Corporal,Iniciante,Lombar,1,1,1
36,Prancha (Plank),Core,Peso Corporal,Iniciante,Nenhum,1,1,1
37,Elevação de Pernas (Paralela),Core,Peso Corporal,Intermediário,Lombar,1,1,1
38,Roda Abdominal,Core,Peso Corporal,Avançado,Lombar,1,1,1
39,Abdominal Máquina,Core,Máquina,Iniciante,Nenhum,0,0,1
40,Rotação Russa,Core,Halteres,Intermediário,Lombar,0,1,1
41,Esteira (Corrida),Cardio,Máquina,Intermediário,Joelho,0,0,1
42,Esteira (Caminhada),Cardio,Máquina,Iniciante,Nenhum,0,0,1
43,Bicicleta Ergométrica,Cardio,Máquina,Iniciante,Nenhum,0,0,1
44,Elíptico (Transport),Cardio,Máquina,Iniciante,Nenhum,0,0,1
45,Pular Corda,Cardio,Peso Corporal,Intermediário,Joelho,1,1,1
46,Burpee,Cardio,Peso Corporal,Avançado,Lombar/Joelho,1,1,1
47,Polichinelo,Cardio,Peso Corporal,Iniciante,Joelho,1,1,1
48,Agachamento com Salto,Cardio,Peso Corporal,Intermediário,Joelho,1,1,1
49,Kettlebell Swing,Pernas,Halteres,Avançado,Lombar,0,1,1
50,Thruster (Halteres),Ombros,Halteres,Avançado,Lombar/Ombro,0,1,1
51,Levantamento Terra (Sumô),Pernas,Barra,Avançado,Lombar,0,1,1
