idade,genero,peso,altura,tempo_sessao,objetivo,nivel,foco_muscular,local_treino,limitacoes,ex1,ex2,ex3,ex4,ex5
18,0,87.5,145.3,60,0,1,2,0,0,60,130,131,132,137
54,1,50.5,145.3,45,2,3,5,0,1,0,6,8,83,84
60,0,46.8,189.1,45,1,1,4,1,0,45,46,111,114,116
30,0,49.0,184.5,30,1,2,0,2,2,49,50,57,124,125
38,0,90.6,187.2,30,0,3,4,2,0,38,40,41,112,119
51,0,100.4,177.8,60,0,3,2,1,0,59,61,63,64,66
27,0,42.5,162.5,90,1,1,3,2,2,11,13,18,89,94
48,1,61.7,153.9,60,0,1,1,2,0,70,71,72,75,144
54,0,103.9,184.6,45,0,1,6,1,0,26,30,32,98,108
62,1,60.5,182.5,60,1,0,2,0,0,58,59,60,64,137
39,0,81.5,175.0,60,0,2,2,2,0,58,60,62,63,133
64,0,99.3,193.8,90,0,3,0,1,2,47,53,54,123,129
60,0,80.9,161.9,45,0,2,4,2,0,36,37,38,42,119
38,1,70.1,156.1,30,0,0,2,0,3,59,61,131,132,136
38,1,41.1,196.3,45,1,1,4,2,0,37,38,42,117,119
57,0,102.2,175.6,90,0,0,4,2,0,36,39,43,45,119
61,0,92.4,162.9,90,0,2,2,1,0,58,61,63,65,139
63,0,78.9,176.5,45,0,2,1,0,0,71,72,74,148,149
60,0,117.7,178.0,30,0,3,0,1,0,48,53,55,120,122
55,0,101.5,157.3,60,0,0,4,1,0,40,41,46,116,118
47,1,105.1,184.5,60,0,2,3,2,3,12,14,19,89,94
43,1,102.9,182.3,90,0,0,5,0,0,6,7,8,83,84
29,0,115.3,173.8,45,0,0,5,0,0,0,7,8,9,84
21,0,86.7,153.4,30,0,0,2,0,0,130,132,134,136,137
18,1,48.5,195.0,90,1,0,5,0,2,0,6,7,8,84
30,0,100.3,147.8,60,0,0,3,2,0,12,13,15,16,18
32,0,126.4,149.8,45,0,1,4,1,2,42,110,111,116,118
19,0,81.7,198.3,90,0,2,0,1,0,48,52,56,120,129
35,0,95.3,147.0,30,0,0,0,1,0,52,53,56,57,127
45,1,53.9,146.8,90,0,1,0,2,1,48,51,53,57,125
52,0,88.9,190.3,30,0,2,5,2,0,1,3,7,8,81
55,1,75.9,155.8,30,0,0,4,2,0,40,41,42,44,45
52,1,90.1,155.9,60,0,1,4,1,0,40,42,45,111,118
40,0,106.7,150.1,60,0,1,1,2,1,141,142,143,144,145
37,1,116.2,150.0,90,0,2,2,1,0,59,60,63,66,139
54,1,70.1,183.1,90,2,2,1,1,0,71,72,73,74,150
58,0,78.5,163.6,30,0,3,1,2,0,71,140,141,142,143
51,1,120.2,196.3,45,0,1,4,2,0,37,40,42,43,112
50,0,77.0,181.6,90,0,2,6,1,0,22,26,33,96,102
49,0,86.8,181.2,90,0,0,3,1,0,86,90,91,92,95
20,0,100.3,160.1,30,0,3,5,0,0,0,7,8,9,84
21,0,123.1,177.7,90,0,0,0,2,0,47,48,50,52,124
39,1,118.5,158.6,30,0,1,3,1,0,15,20,86,91,95
23,0,60.9,183.2,45,1,1,2,2,3,58,63,65,66,133
56,0,55.0,154.6,30,2,3,2,0,0,64,66,132,137,138
54,0,87.8,182.4,30,0,1,1,0,0,72,73,74,148,149
34,0,58.7,189.7,30,1,1,0,2,3,47,48,51,57,124
44,1,108.2,190.9,45,0,3,5,0,0,0,6,7,8,9
21,0,92.0,159.3,45,0,1,2,2,0,60,63,64,66,135
36,0,86.6,180.1,90,0,2,4,2,0,38,39,43,115,117
48,0,128.5,197.3,45,0,1,4,1,1,45,46,110,113,116
54,1,119.4,198.2,60,0,2,3,1,3,15,18,87,91,92
30,0,73.4,181.0,90,1,1,1,0,2,71,73,74,147,148
41,1,61.8,170.7,60,1,1,4,2,2,39,41,43,44,119
33,0,64.7,183.1,60,2,0,6,1,1,26,30,34,102,108
