exercise_id,nome_exercicio,foco_muscular,equipamento,dificuldade,risco_limitacao,loc_0_pc,loc_1_halteres,loc_2_maquina
0,Flexão de Braço,Peito,Peso Corporal,Iniciante,Ombro,1,1,1
1,Supino Reto (Barra),Peito,Barra,Intermediário,Ombro,0,1,1
2,Supino Inclinado (Halteres),Peito,Halteres,Intermediário,Ombro,0,1,1
3,Voador / Pec Deck,Peito,Máquina,Iniciante,Nenhum,0,0,1
4,Supino Máquina (Chest Press),Peito,Máquina,Iniciante,Nenhum,0,0,1
5,Crucifixo (Halteres),Peito,Halteres,Intermediário,Ombro,0,1,1
6,Paralelas (Dips),Peito,Peso Corporal,Avançado,Ombro,1,1,1
7,Flexão Inclinada (na parede/banco),Peito,Peso Corporal,Iniciante,Nenhum,1,1,1
8,Flexão Declinada (pés elevados),Peito,Peso Corporal,Intermediário,Ombro,1,1,1
9,Flexão Diamante,Peito,Peso Corporal,Intermediário,Ombro,1,1,1
10,Crucifixo (Cabos),Peito,Cabos,Intermediário,Nenhum,0,0,1
11,Puxada Alta / Pulldown,Costas,Máquina,Iniciante,Nenhum,0,0,1
12,Remada Curvada (Barra),Costas,Barra,Avançado,Lombar,0,1,1
13,Remada Sentada (Máquina),Costas,Máquina,Iniciante,Nenhum,0,0,1
14,Remada Cavalinho,Costas,Máquina,Intermediário,Lombar,0,0,1
15,Remada Unilateral (Halteres),Costas,Halteres,Intermediário,Nenhum,0,1,1
16,Barra Fixa / Pull-up,Costas,Peso Corporal,Avançado,Nenhum,1,1,1
17,Hiperextensão Lombar,Costas,Peso Corporal,Iniciante,Lombar,1,1,1
18,Remada Australiana (Invertida),Costas,Peso Corporal,Iniciante,Nenhum,1,1,1
19,Pulldown (Cordas),Costas,Cabos,Intermediário,Nenhum,0,0,1
20,Pullover (Halteres),Costas,Halteres,Intermediário,Ombro,0,1,1
21,Agachamento Livre (Barra),Pernas,Barra,Avançado,Lombar/Joelho,0,1,1
22,Agachamento (Peso Corporal),Pernas,Peso Corporal,Iniciante,Joelho,1,1,1
23,Leg Press 45,Pernas,Máquina,Intermediário,Joelho,0,0,1
24,Cadeira Extensora,Pernas,Máquina,Iniciante,Joelho,0,0,1
25,Cadeira Flexora,Pernas,Máquina,Iniciante,Nenhum,0,0,1
26,Levantamento Terra / Deadlift,Pernas,Barra,Avançado,Lombar,0,1,1
27,Avanço / Passada (Halteres),Pernas,Halteres,Intermediário,Joelho,0,1,1
28,Panturrilha (Máquina),Pernas,Máquina,Iniciante,Nenhum,0,0,1
29,Agachamento Taça (Goblet Squat),Pernas,Halteres,Iniciante,Lombar/Joelho,0,1,1
30,Stiff (Halteres),Pernas,Halteres,Intermediário,Lombar,0,1,1
31,Agachamento Búlgaro (Halteres),Pernas,Halteres,Avançado,Joelho,0,1,1
32,Panturrilha (em pé PC),Pernas,Peso Corporal,Iniciante,Nenhum,1,1,1
33,Agachamento Sumô (Halteres),Pernas,Halteres,Iniciante,Joelho,0,1,1
34,Kettlebell Swing,Pernas,Halteres,Avançado,Lombar,0,1,1
35,Levantamento Terra (Sumô),Pernas,Barra,Avançado,Lombar,0,1,1
36,Desenvolvimento (Halteres),Ombros,Halteres,Intermediário,Ombro/Lombar,0,1,1
37,Desenvolvimento (Máquina),Ombros,Máquina,Iniciante,Nenhum,0,0,1
38,Elevação Lateral (Halteres),Ombros,Halteres,Intermediário,Ombro,0,1,1
39,Elevação Frontal (Halteres),Ombros,Halteres,Iniciante,Ombro,0,1,1
40,Remada Alta (Barra),Ombros,Barra,Intermediário,Ombro,0,1,1
41,Encolhimento (Halteres),Ombros,Halteres,Iniciante,Nenhum,0,1,1
42,Desenvolvimento Arnold (Halteres),Ombros,Halteres,Intermediário,Ombro,0,1,1
43,Elevação Lateral (Cabos),Ombros,Cabos,Intermediário,Nenhum,0,0,1
44,Puxada ao Rosto (Face Pull),Ombros,Cabos,Iniciante,Ombro,0,0,1
45,Flexão Pike (Pike Push-up),Ombros,Peso Corporal,Avançado,Ombro,1,1,1
46,Thruster (Halteres),Ombros,Halteres,Avançado,Lombar/Ombro,0,1,1
47,Rosca Direta (Barra),Braços,Barra,Intermediário,Nenhum,0,1,1
48,Rosca Alternada (Halteres),Braços,Halteres,Iniciante,Nenhum,0,1,1
49,Rosca Scott (Máquina),Braços,Máquina,Iniciante,Nenhum,0,0,1
50,Tríceps Testa (Barra),Braços,Barra,Intermediário,Ombro,0,1,1
51,Tríceps Pulley (Cabos),Braços,Cabos,Iniciante,Nenhum,0,0,1
52,Tríceps Banco (Mergulho),Braços,Peso Corporal,Intermediário,Ombro,1,1,1
53,Rosca Martelo (Halteres),Braços,Halteres,Iniciante,Nenhum,0,1,1
54,Flexão Diamante (Foco Tríceps),Braços,Peso Corporal,Intermediário,Ombro,1,1,1
55,Rosca Concentrada (Halteres),Braços,Halteres,Iniciante,Nenhum,0,1,1
56,Tríceps Francês (Halteres),Braços,Halteres,Intermediário,Ombro,0,1,1
57,Rosca Inversa (Barra),Braços,Barra,Iniciante,Nenhum,0,1,1
58,Abdominal (Crunch),Core,Peso Corporal,Iniciante,Lombar,1,1,1
59,Prancha (Plank),Core,Peso Corporal,Iniciante,Nenhum,1,1,1
60,Elevação de Pernas (Paralela),Core,Peso Corporal,Intermediário,Lombar,1,1,1
61,Roda Abdominal,Core,Peso Corporal,Avançado,Lombar,1,1,1
